"","date","inventorycirculationp","economicthink","kospip","presentindex2015100","serviceproducep","retailsoldp","formerindex2015100","workercount"
"1","2019. 01",-0.2,-1.1,-0.8,110.8,0.2,0,112.8,0.1
"2","2019. 02",0.8,1.1,2,110.6,0.1,0,113.1,0.1
"3","2019. 03",2.1,0.8,1.4,110.8,0.1,0.9,113.3,0.2
"4","2019. 04",-0.6,2,1.7,111,0,0.5,113.6,0.1
"5","2019. 05",-0.8,-1.2,-1.9,111.4,0.5,0.5,113.9,0
"6","2019. 06",-1.4,-0.6,-0.9,111.6,0,-0.5,114.2,0
"7","2019. 07",-0.4,-2.1,-2.1,111.7,0.1,-0.4,114.5,0.1
"8","2019. 08",1.8,-1.1,-2.3,112.1,0.3,0.5,114.8,0.2
"9","2019. 09",0,-0.4,-1,112.3,0.4,0.2,115.1,0.1
"10","2019. 10",0,0.5,-0.2,112.6,0.2,0.7,115.4,0.2
"11","2019. 11",0.6,1,3,112.7,0.3,0.2,115.6,0.1
"12","2019. 12",4.3,0.4,1.6,113.3,0.5,1.1,115.9,0.3
"13","2020. 01",0.7,1.5,2.2,113.8,0.5,-0.3,116.3,0.3
"14","2020. 02",-1.4,-1.6,0.6,113.3,-0.8,-2.9,116.6,0.3
"15","2020. 03",-4,-9.7,-5.5,112.2,-2.4,-3.4,116.7,-0.7
"16","2020. 04",-1,-13.3,-5.7,110.9,-2.6,-0.6,116.8,-1.2
"17","2020. 05",-2.1,-9.8,-3.5,110.1,-0.9,3,116.9,-1.1
"18","2020. 06",-0.9,-0.2,6.2,110.5,1.5,4.1,117.1,-0.1
"19","2020. 07",1.1,5.7,5.8,111,1.6,0.2,117.3,0.4
"20","2020. 08",1.3,7.3,6.1,111.6,0.7,-0.3,117.7,0.3
